dataset,trait_slug,best_baseline_name,best_baseline,no_prior_tabicl,BayesB,GBLUP,RKHS,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,only_triple,triple_vs_BayesB_pct,triple_vs_GBLUP_pct,triple_vs_RKHS_pct,triple_vs_best_baseline_pct,triple_vs_no_prior_tabicl_pct,triple_vs_single_bayesb_two_step_ls_pct,triple_vs_single_gblup_two_step_ls_pct,triple_vs_single_rkhs_two_step_ls_pct,triple_vs_only_triple_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,BayesB,0.6595304655499581,0.6324071861231926,0.6595304655499581,0.646071941795476,0.648465806475645,0.6680683243374574,0.6577354336606226,0.6568747362813578,0.6667482587338653,0.6614230253823384,1.0943835896782417,3.200311853959871,2.8193394432905983,1.0943835896782417,5.4302154314835915,-0.19759440097706313,1.370281212170967,1.5031058293401,0.8051176247528772
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,BayesB,0.7558951617688524,0.7406978873915858,0.7558951617688524,0.7419842403264798,0.7496275878175716,0.7684407598432123,0.7588091647125923,0.7600081574612467,0.7693484635687795,0.7594249750126361,1.7797840865187369,3.6879790371638075,2.6307564011381084,1.7797840865187369,3.86805155852253,0.11812279787871442,1.3889261419475722,1.2289744545286738,1.306710851322519
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,RKHS,0.6569647395441828,0.6498665794142466,0.6543982929198371,0.6513656663214047,0.6569647395441828,0.6677981117650904,0.6654374065779655,0.6669145660595955,0.6683217517102835,0.660530819727575,2.1276734583646038,2.6031592184829946,1.7287095459614013,1.7287095459614013,2.83984018883866,0.0784129119216962,0.43345100588061297,0.2109993876730284,1.1794956041448252
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,RKHS,0.7589378570432362,0.7496156340395872,0.7561806169962291,0.75663986843148,0.7589378570432362,0.7705832975316249,0.7708616797142263,0.7686049527683132,0.7717257529924701,0.7609478727812945,2.0557437795735773,1.9937998498893914,1.684972732689152,1.684972732689152,2.949527457656428,0.1482585288968518,0.11209187082230139,0.4060343630257191,1.4163756279102369
rice529,grain_length,BayesB,0.7410745899848749,0.7154050914085086,0.7410745899848749,0.7196962389648875,0.7341765924187614,0.7462302496291645,0.7305586003797934,0.7364113359245982,0.7471217113205084,0.7435987912242601,0.8159936148609529,3.8107010806484016,1.7632159667606673,0.8159936148609529,4.4333791152583615,0.1194620148120391,2.2671844438084006,1.4544012121245902,0.47376624838889214
rice529,grain_thickness,BayesB,0.7108970917208475,0.6861027709294649,0.7108970917208475,0.7063673548582606,0.6963536593316783,0.7131952867888545,0.7097222675143,0.7015781487862787,0.7131952867888545,0.7108970917208475,0.32328097762276947,0.9666262014563122,2.4185451216469334,0.32328097762276947,3.9487547649293493,0.0,0.489349064207638,1.655858014203165,0.32328097762276947
rice529,grain_weight,BayesB,0.5618842313208047,0.5741059483379454,0.5618842313208047,0.5553552985858479,0.5563503061347376,0.582189903613124,0.5804446063867748,0.5783832890767779,0.5821290944566104,0.5625864677071682,3.6030310172999083,4.821021054258262,4.633553363342577,3.6030310172999083,1.397502698220131,-0.010444900561849694,0.2902065160569743,0.6476337492066182,3.473710775356636
rice529,grain_width,BayesB,0.8361757046060854,0.8165831120803615,0.8361757046060854,0.8275337207776243,0.8231585449543589,0.8367177662832492,0.8296927935371604,0.8249036473132249,0.8363920128901539,0.8361582549448977,0.02586875974474649,1.0704448519880847,1.6076450905977886,0.02586875974474649,2.4258278816624523,-0.03893229069849801,0.8074337158496002,1.392691814898322,0.02795618459469215
rice529,heading_date,RKHS,0.7464108640319594,0.7381564216247558,0.7334621102524661,0.7230055622919063,0.7464108640319594,0.7521245623049351,0.7473570896938824,0.7525127060916954,0.7498213305035735,0.7304922487385798,2.2304110904210623,3.708929724781371,0.4569154383942621,0.4569154383942621,1.5802760142819097,-0.3062301002779646,0.32972736107988915,-0.35765184645187714,2.6460351630522196
rice529,num_effective_panicles,RKHS,0.6631866929606557,0.6399021564460021,0.6515389420361078,0.6534216840396352,0.6631866929606557,0.6599795576217321,0.6598200113663428,0.6648094594989568,0.6642498067587903,0.6615666373748874,1.9508986957801873,1.657141625942476,0.1603038494919995,0.1603038494919995,3.8049020569041874,0.6470274855855004,0.671364207835155,-0.08418242733613328,0.40557809785417476
