dataset,trait_slug,no_prior_tabicl,BayesB,GBLUP,RKHS,best_baseline_name,best_baseline,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,single_bayesb_two_step_ls_vs_best_baseline_pct,single_gblup_two_step_ls_vs_best_baseline_pct,single_rkhs_two_step_ls_vs_best_baseline_pct,triple_two_step_ls_vs_best_baseline_pct,single_bayesb_two_step_ls_vs_own_prior_pct,single_gblup_two_step_ls_vs_own_prior_pct,single_rkhs_two_step_ls_vs_own_prior_pct,triple_two_step_ls_vs_no_prior_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,0.6324071861231926,0.6595304655499581,0.646071941795476,0.648465806475645,BayesB,0.6595304655499581,0.6680683243374574,0.6577354336606226,0.6568747362813578,0.6667482587338653,1.2945359211541385,-0.27216815342088196,-0.40266968810693804,1.0943835896782383,1.2945359211541385,1.805293050296064,1.296742206256729,5.430215431483587
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,0.7406978873915858,0.7558951617688524,0.7419842403264798,0.7496275878175716,BayesB,0.7558951617688524,0.7684407598432123,0.7588091647125923,0.7600081574612467,0.7693484635687795,1.6597008036143723,0.38550358450779587,0.544122505397393,1.779784086518732,1.6597008036143723,2.2675581867762196,1.3847635562475258,3.868051558522523
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,0.6498665794142466,0.6543982929198371,0.6513656663214047,0.6569647395441828,RKHS,0.6569647395441828,0.6677981117650904,0.6654374065779655,0.6669145660595955,0.6683217517102835,1.6490036022974497,1.2896684591719776,1.5145145418787864,1.7287095459614044,2.0476549205935557,2.1603441790279065,1.5145145418787864,2.8398401888386493
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,0.7496156340395872,0.7561806169962291,0.75663986843148,0.7589378570432362,RKHS,0.7589378570432362,0.7705832975316249,0.7708616797142263,0.7686049527683132,0.7717257529924701,1.5344392667086648,1.5711197643301533,1.2737664402114879,1.6849727326891495,1.904661427663612,1.8796010990311807,1.2737664402114879,2.94952745765642
rice529,grain_length,0.7154050914085086,0.7410745899848749,0.7196962389648875,0.7341765924187614,BayesB,0.7410745899848749,0.7462302496291645,0.7305586003797934,0.7364113359245982,0.7471217113205084,0.6957005022119045,-1.4190190497958,-0.6292556948109485,0.8159936148609548,0.6957005022119045,1.5092980658796717,0.30438773571823674,4.433379115258362
rice529,grain_thickness,0.6861027709294649,0.7108970917208475,0.7063673548582606,0.6963536593316783,BayesB,0.7108970917208475,0.7131952867888545,0.7097222675143,0.7015781487862787,0.7131952867888545,0.3232809776227752,-0.1652593913000211,-1.310870876122272,0.3232809776227752,0.3232809776227752,0.4749529593864876,0.7502638041156473,3.948754764929352
rice529,grain_weight,0.5741059483379454,0.5618842313208047,0.5553552985858479,0.5563503061347376,BayesB,0.5618842313208047,0.582189903613124,0.5804446063867748,0.5783832890767779,0.5821290944566104,3.6138533812538842,3.303238288488841,2.9363802784052817,3.603031017299907,3.6138533812538842,4.517703867202516,3.9602715589599047,1.397502698220121
rice529,grain_width,0.8165831120803615,0.8361757046060854,0.8275337207776243,0.8231585449543589,BayesB,0.8361757046060854,0.8367177662832492,0.8296927935371604,0.8249036473132249,0.8363920128901539,0.06482628880244423,-0.7753048830782538,-1.348048888620923,0.025868759744751557,0.06482628880244423,0.26090450519735686,0.2120007584884842,2.4258278816624568
rice529,heading_date,0.7381564216247558,0.7334621102524661,0.7230055622919063,0.7464108640319594,RKHS,0.7464108640319594,0.7521245623049351,0.7473570896938824,0.7525127060916954,0.7498213305035735,0.7654896985436865,0.12677008166943615,0.8174910567050331,0.4569154383942564,2.544433010458458,3.3680968269154787,0.8174910567050331,1.5802760142819006
rice529,num_effective_panicles,0.6399021564460021,0.6515389420361078,0.6534216840396352,0.6631866929606557,RKHS,0.6631866929606557,0.6599795576217321,0.6598200113663428,0.6648094594989568,0.6642498067587903,-0.48359464581625433,-0.5076521634176712,0.2446922647160843,0.16030384949199394,1.2954890400329155,0.9792033969781011,0.2446922647160843,3.8049020569041803
rice529,num_panicles,0.6311361703688034,0.6525063529450816,0.6533497695210596,0.6633105117243119,RKHS,0.6633105117243119,0.6569096556501982,0.6564066680929512,0.6633323596754678,0.6628671173288899,-0.9649863768138256,-1.0408162556347467,0.003293774298729346,-0.06684567598203017,0.6748290932712564,0.4678808678745705,0.003293774298729346,5.027591263157127
rice529,plant_height,0.8463736048670054,0.8426682282790605,0.8426889477000238,0.8385680569970047,GBLUP,0.8426889477000238,0.8527214900253022,0.8535529266449293,0.8493658562397567,0.8534609758700485,1.190539208169339,1.2892039197330174,0.7923337024837496,1.278292328317021,1.1930272684865573,1.2892039197330174,1.287647335556752,0.8373809110170383
rice529,spikelet_length,0.6021001362645443,0.6191461787290973,0.6237070469262551,0.6318017939059084,RKHS,0.6318017939059084,0.6276888773366973,0.6315137520987355,0.6347561292699238,0.6319937252484692,-0.6509820973733427,-0.04559053328927476,0.4676047761357438,0.030378410509768194,1.3797547172358149,1.2516621723216437,0.4676047761357438,4.9648865999908365
