dataset,trait_slug,best_baseline_name,best_baseline,no_prior_tabicl,BayesB,GBLUP,RKHS,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,triple_vs_BayesB_pct,triple_vs_GBLUP_pct,triple_vs_RKHS_pct,triple_vs_best_baseline_pct,triple_vs_no_prior_tabicl_pct,triple_vs_single_bayesb_two_step_ls_pct,triple_vs_single_gblup_two_step_ls_pct,triple_vs_single_rkhs_two_step_ls_pct
soybean951,vbn_beijing_2013_vbn_beijing_2013,RKHS,0.771313,0.75171,0.76508,0.766284,0.771313,0.767592,0.768168,0.770076,0.770089,0.654742,0.4966,-0.158608,-0.158608,2.445023,0.325393,0.250139,0.001679
wheat406,ph_e1,BayesB,0.813582,0.803503,0.813582,0.806348,0.813501,0.82366,0.821145,0.819569,0.822477,1.09328,2.000241,1.103369,1.09328,2.361402,-0.143618,0.162178,0.354795
wheat406,ph_e2,BayesB,0.780137,0.76598,0.780137,0.776396,0.778819,0.788816,0.784731,0.7835,0.788847,1.116465,1.603627,1.287537,1.116465,2.985241,0.003903,0.524486,0.682361
wheat406,ph_e3,BayesB,0.848494,0.832865,0.848494,0.844701,0.839065,0.85557,0.853706,0.848614,0.854149,0.666544,1.118517,1.797787,0.666544,2.555576,-0.166014,0.051914,0.652261
wheat406,pl_e1,BayesB,0.84331,0.858148,0.84331,0.829263,0.842948,0.864627,0.85969,0.863326,0.863284,2.368515,4.102495,2.412452,2.368515,0.598438,-0.155328,0.417998,-0.004935
wheat406,pl_e2,RKHS,0.723999,0.718509,0.721379,0.718634,0.723999,0.737267,0.737785,0.735496,0.737992,2.30304,2.693778,1.932768,1.932768,2.711611,0.098301,0.028135,0.33934
wheat406,pl_e3,BayesB,0.812178,0.799242,0.812178,0.805239,0.808239,0.820316,0.817385,0.816094,0.820289,0.998628,1.869052,1.490951,0.998628,2.633327,-0.003342,0.355307,0.513985
wheat406,sl_e1,RKHS,0.459604,0.450977,0.45394,0.448735,0.459604,0.476568,0.474285,0.476635,0.477206,5.125339,6.344854,3.829958,3.829958,5.816235,0.134053,0.615955,0.119953
wheat406,sl_e2,RKHS,0.436716,0.370058,0.415868,0.410068,0.436716,0.424052,0.419128,0.438148,0.438148,5.357363,6.84748,0.32776,0.32776,18.399854,3.32414,4.537883,0.0
wheat406,sl_e3,BayesB,0.650626,0.617136,0.650626,0.634377,0.643191,0.660479,0.65128,0.651008,0.658056,1.142008,3.732723,2.311221,1.142008,6.63064,-0.366829,1.040446,1.082704
