dataset,trait_slug,prior_name,single_name,best_baseline_name,no_prior_tabicl,prior_only,single_value,single_vs_own_prior_abs,single_vs_own_prior_pct,single_vs_best_baseline_pct,single_vs_no_prior_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,BayesB,single_bayesb_two_step_ls,BayesB,0.6324071861231926,0.6595304655499581,0.6680683243374574,0.008537858787499353,1.2945359211541423,1.2945359211541423,5.638952086056482
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,BayesB,single_bayesb_two_step_ls,BayesB,0.7406978873915858,0.7558951617688524,0.7684407598432123,0.012545598074359843,1.6597008036143774,1.6597008036143774,3.7455044659739345
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,BayesB,single_bayesb_two_step_ls,RKHS,0.6498665794142466,0.6543982929198371,0.6677981117650904,0.01339981884525332,2.047654920593563,1.6490036022974501,2.7592636579351795
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,BayesB,single_bayesb_two_step_ls,RKHS,0.7496156340395872,0.7561806169962291,0.7705832975316249,0.01440268053539584,1.9046614276636058,1.5344392667086622,2.7971219568948333
rice529,grain_length,BayesB,single_bayesb_two_step_ls,BayesB,0.7154050914085086,0.7410745899848749,0.7462302496291645,0.005155659644289656,0.6957005022119139,0.6957005022119139,4.308769757280663
rice529,grain_thickness,BayesB,single_bayesb_two_step_ls,BayesB,0.6861027709294649,0.7108970917208475,0.7131952867888545,0.002298195068006992,0.32328097762276947,0.32328097762276947,3.9487547649293493
rice529,grain_weight,BayesB,single_bayesb_two_step_ls,BayesB,0.5741059483379454,0.5618842313208047,0.582189903613124,0.020305672292319277,3.6138533812538807,3.6138533812538807,1.408094672870379
rice529,grain_width,BayesB,single_bayesb_two_step_ls,BayesB,0.8165831120803615,0.8361757046060854,0.8367177662832492,0.0005420616771638631,0.06482628880245012,0.06482628880245012,2.4657201336912107
rice529,heading_date,BayesB,single_bayesb_two_step_ls,RKHS,0.7381564216247558,0.7334621102524661,0.7521245623049351,0.01866245205246897,2.5444330104584596,0.7654896985436944,1.892300909532697
rice529,num_effective_panicles,BayesB,single_bayesb_two_step_ls,RKHS,0.6399021564460021,0.6515389420361078,0.6599795576217321,0.008440615585624256,1.295489040032926,-0.4835946458162499,3.1375736076964147
rice529,num_panicles,BayesB,single_bayesb_two_step_ls,RKHS,0.6311361703688034,0.6525063529450816,0.6569096556501982,0.004403302705116574,0.6748290932712465,-0.9649863768138237,4.08366474485753
rice529,plant_height,BayesB,single_bayesb_two_step_ls,GBLUP,0.8463736048670054,0.8426682282790605,0.8527214900253022,0.01005326174624166,1.1930272684865473,1.1905392081693384,0.7500098209341293
rice529,spikelet_length,BayesB,single_bayesb_two_step_ls,RKHS,0.6021001362645443,0.6191461787290973,0.6276888773366973,0.008542698607600041,1.37975471723582,-0.6509820973733431,4.249914512709913
rice529,yield,BayesB,single_bayesb_two_step_ls,RKHS,0.4773761800574265,0.5150163646822922,0.5167358447998668,0.0017194801175746122,0.33386902543093755,-2.9951441100308793,8.244999726987945
soybean951,bbd_beijing_2013_bbd_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.7906833674729926,0.8209726382027954,0.8216812608220667,0.000708622619271293,0.08631501054926145,0.08631501054926145,3.920392741805448
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.5406302807883601,0.601143561174883,0.5992678207931227,-0.0018757403817603047,-0.31202869046693815,-1.0885172590787962,10.846144229889594
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.7692943661886587,0.7986820730391638,0.8009584199514194,0.0022763469122555335,0.28501289675797087,0.28501289675797087,4.115986695656568
soybean951,fac_beijing_2013_fac_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.6023645096710668,0.6362062997711785,0.6425901034773094,0.006383803706130897,1.0034172419271756,-0.7717793133558278,6.677948843335503
soybean951,hsw_beijing_2013_hsw_beijing_2013,BayesB,single_bayesb_two_step_ls,GBLUP,0.7405487566995206,0.7703982629287989,0.7782887634473136,0.007890500518514698,1.0242105801897359,0.9331316245034379,5.096221741832737
soybean951,ll_beijing_2013_ll_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.3507771072580342,0.4031851006768385,0.4115945261087951,0.008409425431956608,2.0857480640627495,2.0857480640627495,17.33790991269655
soybean951,lw_beijing_2013_lw_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.5017393084607698,0.5470655817574893,0.5561485812076794,0.009082999450190088,1.6603127217417462,1.6603127217417462,10.844131968417187
soybean951,md_beijing_2013_md_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.6152061500093498,0.668269458134134,0.6713355455414851,0.003066087407351148,0.45881004586262686,-0.23595046544110876,9.123672695938154
soybean951,plh_beijing_2013_plh_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.7032892022494912,0.7616884118454353,0.7637000875950755,0.0020116757496401183,0.26410743794384195,0.26410743794384195,8.589764374649613
soybean951,prt_beijing_2013_prt_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.2025014763817338,0.2857182011948287,0.2900999610904392,0.00438175989561046,1.5335949467995482,-4.070010007875557,43.25819558153454
