dataset,trait_slug,no_prior_tabicl,no_prior_tabicl_r2,BayesB,BayesB_r2,GBLUP,GBLUP_r2,RKHS,RKHS_r2,only_single_bayesb,only_single_bayesb_r2,single_bayesb_two_step_clip,single_bayesb_two_step_clip_r2,single_bayesb_two_step_ls,single_bayesb_two_step_ls_r2,single_bayesb_all_ls,single_bayesb_all_ls_r2,only_single_gblup,only_single_gblup_r2,single_gblup_two_step_clip,single_gblup_two_step_clip_r2,single_gblup_two_step_ls,single_gblup_two_step_ls_r2,single_gblup_all_ls,single_gblup_all_ls_r2,only_single_rkhs,only_single_rkhs_r2,single_rkhs_two_step_clip,single_rkhs_two_step_clip_r2,single_rkhs_two_step_ls,single_rkhs_two_step_ls_r2,single_rkhs_all_ls,single_rkhs_all_ls_r2,only_dual,only_dual_r2,dual_two_step_clip,dual_two_step_clip_r2,dual_two_step_ls,dual_two_step_ls_r2,dual_all_ls,dual_all_ls_r2,only_triple,only_triple_r2,triple_two_step_clip,triple_two_step_clip_r2,triple_two_step_ls,triple_two_step_ls_r2,triple_all_ls,triple_all_ls_r2
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,0.6324071861231926,0.39075891971588134,0.6595304655499581,0.43230477571487425,0.646071941795476,0.4145297408103943,0.648465806475645,0.4170341849327087,0.6595304655499581,0.43230477571487425,0.6658598457683494,0.44043445587158203,0.6680683243374574,0.4434717059135437,0.6680683243374574,0.4434717059135437,0.646071941795476,0.4145297408103943,0.6570591709424262,0.42846251726150514,0.6577354336606226,0.4294955611228943,0.6577354336606226,0.4294955611228943,0.648465806475645,0.4170341849327087,0.655833424442312,0.42639875411987305,0.6568747362813578,0.4277276635169983,0.6568747362813578,0.4277276635169983,0.6595304655499581,0.43230477571487425,0.6658598457683494,0.44043445587158203,0.6680683243374574,0.4434717059135437,0.6680683243374574,0.4434717059135437,0.6614230253823384,0.4343252420425415,0.6639228991046882,0.43750998973846433,0.6667482587338653,0.4411683320999146,0.6677472797391565,0.44272541999816895
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,0.7406978873915858,0.5405746579170227,0.7558951617688524,0.5654035449028015,0.7419842403264798,0.5425877928733825,0.7496275878175716,0.5490474700927734,0.7558951617688524,0.5654035449028015,0.7683459207616299,0.583480441570282,0.7684407598432123,0.5838642835617065,0.7684407598432123,0.5838642835617065,0.7419842403264798,0.5425877928733825,0.7588007242228285,0.5681867003440857,0.7588091647125923,0.5680987000465393,0.7588091647125923,0.5680987000465393,0.7496275878175716,0.5490474700927734,0.7599301098704767,0.5674591064453125,0.7600081574612467,0.5675056457519532,0.7600081574612467,0.5675056457519532,0.7558951617688524,0.5654035449028015,0.7683459207616299,0.583480441570282,0.7684407598432123,0.5838642835617065,0.7684407598432123,0.5838642835617065,0.7594249750126361,0.5701911807060241,0.7684868696505784,0.5832022666931153,0.7693484635687795,0.5845093727111816,0.7684407598432123,0.5838642835617065
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,0.6498665794142466,0.41614733934402465,0.6543982929198371,0.4180766701698303,0.6513656663214047,0.4137573838233948,0.6569647395441828,0.42348202466964724,0.6543982929198371,0.4180766701698303,0.6699674557777785,0.4425089478492737,0.6677981117650904,0.4403939127922058,0.6677981117650904,0.4403939127922058,0.6513656663214047,0.4137573838233948,0.6678043757573375,0.4394817233085632,0.6654374065779655,0.4372946619987488,0.6654374065779655,0.4372946619987488,0.6569647395441828,0.42348202466964724,0.6681216691948401,0.4402910351753235,0.6669145660595955,0.43911406993865965,0.6669145660595955,0.43911406993865965,0.6543982929198371,0.4180766701698303,0.6699674557777785,0.4425089478492737,0.6677981117650904,0.4403939127922058,0.6677981117650904,0.4403939127922058,0.660530819727575,0.4278108596801758,0.669773386739459,0.44234954118728637,0.6683217517102835,0.4409062147140503,0.6689300478021141,0.4417115569114685
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,0.7496156340395872,0.5580664157867432,0.7561806169962291,0.5659949064254761,0.75663986843148,0.566072154045105,0.7589378570432362,0.5669708609580993,0.7561806169962291,0.5659949064254761,0.7706884393387184,0.588658082485199,0.7705832975316249,0.5883293867111206,0.7705832975316249,0.5883293867111206,0.75663986843148,0.566072154045105,0.770772085535879,0.5880716800689697,0.7708616797142263,0.5881069660186767,0.7708616797142263,0.5881069660186767,0.7589378570432362,0.5669708609580993,0.7684652016905743,0.5834162354469299,0.7686049527683132,0.583505642414093,0.7686049527683132,0.583505642414093,0.7561806169962291,0.5659949064254761,0.7706884393387184,0.588658082485199,0.7705832975316249,0.5883293867111206,0.7705832975316249,0.5883293867111206,0.7609478727812945,0.5727767586708069,0.771338807943627,0.589149558544159,0.7717257529924701,0.5893892526626587,0.7705832975316249,0.5883293867111206
pig3534,t1,0.0790845631999752,-0.12554471492767333,0.051959911097120545,-0.0017151713371276855,0.06139102253356499,7.891654968261719e-06,0.0763105502663278,0.0011969804763793945,0.051959911097120545,-0.0017151713371276855,0.07864779757881794,-0.01885178089141846,0.06269732620632677,-0.0004767894744873047,0.06269732620632677,-0.0004767894744873047,0.06139102253356499,7.891654968261719e-06,0.08021202430708023,-0.01296323537826538,0.07396559308960618,0.002024555206298828,0.07396559308960618,0.002024555206298828,0.0763105502663278,0.0011969804763793945,0.08452566579216317,-0.01901324987411499,0.07801966876204215,0.0014152765274047852,0.07801966876204215,0.0014152765274047852,0.06139102253356499,7.891654968261719e-06,0.08021202430708023,-0.01296323537826538,0.07396559308960618,0.002024555206298828,0.07396559308960618,0.002024555206298828,0.06899490467709414,0.00120391845703125,0.0815976788113302,-0.014228546619415283,0.07651683517682215,0.002450096607208252,0.07526321882891988,0.00223393440246582
pig3534,t2,0.42385726715393546,0.15510494709014894,0.48411675383269526,0.22754135131835937,0.485397404917948,0.23277432918548585,0.4909442902353667,0.23802468776702881,0.48411675383269526,0.22754135131835937,0.47320913374684037,0.21832751035690307,0.48461878284194454,0.22898164987564087,0.48461878284194454,0.22898164987564087,0.485397404917948,0.23277432918548585,0.4736080331462135,0.22072781324386598,0.4856232949578164,0.23310409784317015,0.4856232949578164,0.23310409784317015,0.4909442902353667,0.23802468776702881,0.47662119544596526,0.2235093355178833,0.4905795457343376,0.23772737979888917,0.4905795457343376,0.23772737979888917,0.48525921636977987,0.23181136846542358,0.473447825369144,0.220087730884552,0.48552548304473203,0.2323152780532837,0.4854952072334065,0.23215553760528565,0.4909442902353667,0.23802468776702881,0.47662119544596526,0.2235093355178833,0.4905795457343376,0.23772737979888917,0.4905795457343376,0.23772737979888917
pig3534,t3,0.2548680183251109,0.019155681133270264,0.3295066054231269,0.10286619663238525,0.32263894748525024,0.10063800811767579,0.3387306603733519,0.11064615249633789,0.3295066054231269,0.10286619663238525,0.309582937713078,0.08816994428634643,0.3287259627995829,0.10289164781570434,0.3287259627995829,0.10289164781570434,0.32263894748525024,0.10063800811767579,0.30457602322270044,0.08561089038848876,0.322610693107358,0.10053795576095581,0.322610693107358,0.10053795576095581,0.3387306603733519,0.11064615249633789,0.3136131822842992,0.09055193662643432,0.3368998041535972,0.10949928760528564,0.3368998041535972,0.10949928760528564,0.32263894748525024,0.10063800811767579,0.30457602322270044,0.08561089038848876,0.322610693107358,0.10053795576095581,0.322610693107358,0.10053795576095581,0.3347377985701103,0.10842939615249633,0.31080221307064504,0.08933048248291016,0.3332382535515791,0.10744115114212036,0.33266284426083753,0.10707916021347046
pig3534,t4,0.3786036184760319,0.12296082973480224,0.4567273340223895,0.20294063091278075,0.4555135533270488,0.20470845699310303,0.4593968204297939,0.20735021829605102,0.4567273340223895,0.20294063091278075,0.4414939508105766,0.19097282886505126,0.45713624834071975,0.20383630990982055,0.45713624834071975,0.20383630990982055,0.4555135533270488,0.20470845699310303,0.4416009544619769,0.19222066402435303,0.4561474522754444,0.20529260635375976,0.4561474522754444,0.20529260635375976,0.4593968204297939,0.20735021829605102,0.4412650625741753,0.1915640950202942,0.45898119479557087,0.20707486867904662,0.45898119479557087,0.20707486867904662,0.4563299586191286,0.20503499507904052,0.44182986482223663,0.19222838878631593,0.4568375934170561,0.2055516004562378,0.45692503534578865,0.20554853677749635,0.4591514018961747,0.2073082447052002,0.44225343194675054,0.19252429008483887,0.4591565718353123,0.20737547874450685,0.4587563736238517,0.20700364112854003
pig3534,t5,0.39815679664857856,0.1385495901107788,0.4831060318275352,0.2283860921859741,0.46668975986179106,0.2141655445098877,0.4781786032936117,0.22592761516571044,0.4831060318275352,0.2283860921859741,0.469207575622804,0.21607654094696044,0.4839398839827231,0.22938133478164674,0.4839398839827231,0.22938133478164674,0.46668975986179106,0.2141655445098877,0.45710778500521965,0.20548802614212036,0.46798608424226795,0.21551138162612915,0.46798608424226795,0.21551138162612915,0.4781786032936117,0.22592761516571044,0.4619970526768338,0.210645592212677,0.4784942516162597,0.22621448040008546,0.4784942516162597,0.22621448040008546,0.4831060318275352,0.2283860921859741,0.469207575622804,0.21607654094696044,0.4839398839827231,0.22938133478164674,0.4839398839827231,0.22938133478164674,0.486425508635323,0.2324845552444458,0.46857784735348307,0.2159309506416321,0.4866565526716803,0.23272900581359862,0.4865267795285061,0.232558536529541
rice529,grain_length,0.7154050914085086,0.49542502164840696,0.7410745899848749,0.5383069515228271,0.7196962389648875,0.5046265006065369,0.7341765924187614,0.5237313151359558,0.7410745899848749,0.5383069515228271,0.746332995926165,0.545950961112976,0.7462302496291645,0.5461904644966126,0.7462302496291645,0.5461904644966126,0.7196962389648875,0.5046265006065369,0.7310001545452438,0.5220830082893372,0.7305586003797934,0.5216216683387757,0.7305586003797934,0.5216216683387757,0.7341765924187614,0.5237313151359558,0.7349893634568647,0.5272823214530945,0.7364113359245982,0.5289077997207642,0.7364113359245982,0.5289077997207642,0.7410745899848749,0.5383069515228271,0.746332995926165,0.545950961112976,0.7462302496291645,0.5461904644966126,0.7462302496291645,0.5461904644966126,0.7435987912242601,0.5424868822097778,0.746305282220188,0.5458306193351745,0.7471217113205084,0.5475787878036499,0.7462901263891808,0.5462906002998352
